,mid,name_x,class
0,/m/0bp_wy,Oil,
1,/m/02vqfm,Coffee,
2,/m/04zpv,Milk,
3,/m/07clx,Tea (Beverage type),
4,/m/081qc,Wine (Ingredient),liquor
5,/m/04scj,Meat (Ingredient),
6,/m/01599,Beer (Beverage type),liquor
7,/m/03vtj,Ice,
8,/m/06x4c,Sugar,
9,/m/012mj,Alcoholic beverage (Industry),liquor
10,/m/01tv9,Cream,
11,/m/09dh0,Seed,
12,/m/0dxrf,Frying,
13,/m/0chyh,Butter,
14,/m/0fkw3,Flour,
15,/m/0djtd,Coconut,
16,/m/0dbrl,Garlic,spice
17,/m/0frq6,Pork,pork dish
18,/m/014l8n,Yogurt,
19,/m/0dj75,Onion,vegetable
20,/m/052sf,Mushroom,
21,/m/03fw2,Gluten,
22,/m/0q593,Dietary supplement,
23,/m/080vl,Vinegar,
24,/m/07crc,Taco,
25,/m/088lm,Yeast,
26,/m/01fp9,Bean,vegetable
27,/m/05mln,Olive,
28,/m/05zsy,Pumpkin,vegetable
29,/m/09696,Wheat,
30,/m/0m4v,Almond,
31,/m/02mg4z,Cheesecake,cake
32,/m/0n28_,Crab,
33,/m/0cl2v,Oat,
34,/m/014dn0,Sodium bicarbonate,
35,/m/06nwz,Seafood,
36,/m/0gyv9,Soybean,vegetable
37,/m/02vkxl4,Ground meat,
38,/m/017kh0,Lentil,vegetable
39,/m/022n8y,Kebab,lamb dish
40,/m/07s28,Tofu,
41,/m/01x5j8,Crêpe,dessert
42,/m/04sg5,Mentha,
43,/m/058hry,Smoothie,
44,/m/0fqtq,Chickpea,vegetable
45,/m/05ml4,Olive oil,
46,/m/0k5sv46,Chicken breast,chicken dish
47,/m/0gl3jh5,Turkey meat,
48,/m/0dxr0,Stir frying,
49,/m/0f2b9,Champagne,liquor
50,/m/01qfcj,Peanut butter,
51,/m/01x9mn,Dough,
52,/m/01yyk,Cereal,
53,/m/0ftb8,Sunflower,
54,/m/01jszz,Coconut oil,
55,/m/02w6jk,Sponge cake,cake
56,/m/01mzvs,Green tea,
57,/m/015_77,Walnut,
58,/m/01c6xf,Drinking water,
59,/m/07_lq,Vegetarian food,
60,/m/05py0,Octopus,
61,/m/012x5p,Bento,rice dish
62,/m/06sr5g,Yakiniku,beef dish
63,/m/02wsb20,Red Wine (Ingredient),liquor
64,/m/072qlz,Bistro,
65,/m/05vtc,Potato,potato dish
66,/m/0_cp5,Oyster,
67,/m/0ctfk,Espresso,
68,/m/0f07x,Quinoa,
69,/m/09psh,Flax,
70,/m/02p2nn,Cream cheese,cheese
71,/m/0l4_r,Sesame,
72,/m/03fz3,Gelatin,
73,/m/01r1wt,Quince,fruit
74,/m/017z4t,Dal,
75,/m/02cv5l,Dumpling,
76,/m/014jz8,Udon,
77,/m/0278rf,Condensed milk,
78,/m/01bf_1,Oatmeal,
79,/m/0cjq5,Lobster,
80,/m/02dszx,Corn starch,
81,/m/01z6s,Couscous,
82,/m/0g5s7,Pea,vegetable
83,/m/01nr56,Latte,
84,/m/02wsb25,White Wine (Ingredient),liquor
85,/m/0p83l,Jasmine,
86,/m/012y1_,Soba,pasta dish
87,/m/01jxcj,Carbonated water,
88,/m/07l8p5,Side dish,
89,/m/0gl8r,Red Bull,
90,/m/0l6sg,Breakfast cereal,
91,/m/025s18p,Okra,
92,/m/07q3b,Tapas,snack
93,/m/0lz7j,Kefir,
94,/m/014wv,Agar,
95,/m/027ggs,Roti,bread and flatbread
96,/m/0ffhy,Clam,
97,/m/018dz_,Kimchi,
98,/m/0ksgj,Sodium chloride,
99,/m/01j3zr,Burrito,
100,/m/03_mtn,Sacred Lotus,
101,/m/0h259,Cashew,snack
102,/m/01bjxj,Edible mushroom,
103,/m/025s89,Muskmelon,
104,/m/02kgf7,Quark cheese,cheese
105,/m/0294h7,Semolina,
106,/m/053wn,Maize,
107,/m/09gtx,Barley,
108,/m/0fbdv,Shellfish,
109,/m/0g1fdw,Pork loin,pork dish
110,/m/0b3lj,Pistachio,snack
111,/m/01ww8y,Snack food,snack
112,/m/03k_qs,Doner kebab,lamb dish
113,/m/02dmz4,Egg yolk,
114,/m/0fkjv,Sugarcane,
115,/m/018nds,Daikon,vegetable
116,/m/07z2l,Veal,
117,/m/01sbwk,Champignon,
118,/m/03gzlp,Rice pudding,pudding
119,/m/015w3y,Falafel,
120,/m/01qfl8,Fenugreek,
121,/m/06wcblr,Hazelnut,
122,/m/03g5sy,Pâté,
123,/m/0chv4,Fish and chips,fish dish
124,/m/08myc3,Kofta,beef dish
125,/m/01h5zh,Tamarind,
126,/m/023mq,Cider,liquor
127,/m/09702,Cappuccino,
128,/m/04pgq7,Bread crumbs,
129,/m/0m09,Ale,liquor
130,/m/06glhz,Mustard Greens,
131,/m/01n6dx,Broad bean,
132,/m/0f5f8,Cocoa bean,
133,/m/0dc3k,Enchilada,
134,/m/02vxqxj,Cocoa solids,
135,/m/07ll5f,Butternut squash,vegetable
136,/m/0fj52s,Carrot,vegetable
137,/m/01hn_d,Sour cream,
138,/m/0c2pc,Clover,
139,/m/06h3pn,Fennel Flower,
140,/m/02kr76,Brown sugar,
141,/m/012xzr,Tempura,fish dish
142,/m/08186b,Rolled oats,
143,/m/0hsgr,Chestnut,
144,/m/0fr19,Dandelion,
145,/m/0m775,Tilapia (Ingredient),fish dish
146,/m/03hf_6m,Napa cabbage,
147,/m/01wwvy,Brioche,pastry
148,/m/01btbt,Pecan,
149,/m/01qq3s,Fajita,beef dish
150,/m/01qnpw,Truffle,
151,/m/03dy6r,Blintz,dessert
152,/m/03l4q9,Entrée,
153,/m/042lv8,Welsh onion,
154,/m/08zj5m,Unagi,
155,/m/06zts5l,Wheat flour,
156,/m/027f8z,Laurus nobilis,
157,/m/09v7rsq,Liver,
158,/m/047mr6,Prosecco,liquor
159,/m/02q8hw1,Stuffed peppers,
160,/m/02p52fy,Bamboo shoot,
161,/m/01224x,Sparkling wine,liquor
162,/m/01crps,Satay,chicken dish
163,/m/0kpjk,Lychee,fruit
164,/m/0jly1,Turkey,
165,/m/09gys,Squid,
